Explica la diferencia entre digitalización y transformación digital,"Excelente: define con precisión la diferencia (alcance del cambio) y aporta ejemplos propios correctos, distintos de los de la IA.","Bien: define correctamente la diferencia y usa ejemplos válidos, aunque poco originales.","Suficiente: distingue ambos conceptos de forma básica, con ejemplos imprecisos o copiados.",Insuficiente: confunde digitalización y transformación o no justifica la respuesta.
,20,15,10,0
"Clasifica las soluciones por tipo de cambio (procesos, modelo de negocio, dominio, cultura)",Excelente: clasifica todas las soluciones por tipo de cambio y justifica cada elección con criterio.,Bien: clasifica correctamente la mayoría y justifica la mayoría de las elecciones.,Suficiente: clasifica las soluciones sin justificar o con algún error relevante.,Insuficiente: no clasifica las soluciones o la clasificación es incorrecta.
,20,15,10,0
"Elabora un plan de digitalización coherente, priorizado y justificado","Excelente: incluye 4 o más medidas priorizadas, cada una con problema, tipo de cambio, herramienta, coste y riesgo coherentes.","Bien: incluye 4 medidas correctas, aunque algún dato (coste o riesgo) está poco justificado.",Suficiente: incluye menos de 4 medidas o no las prioriza.,Insuficiente: el plan es incoherente o está copiado sin adaptar al caso.
,25,19,13,0
Usa la IA de forma crítica: tabla de huella y fuente verificada,Excelente: tabla de huella completa (qué dijo la IA / qué acepta / qué cambia) y al menos una fuente real verificada y citada.,"Bien: tabla de huella completa y fuente citada, pero poco contrastada.",Suficiente: tabla de huella incompleta o fuente genérica sin contraste real.,Insuficiente: no aporta tabla de huella.
,20,15,10,0
"Participa, asume su rol y expone con claridad","Excelente: todos los roles asumidos, aportaciones equilibradas y exposición clara en la puesta en común.",Bien: buen reparto de tareas y exposición correcta.,Suficiente: participación desigual o exposición mejorable.,Insuficiente: no participa en el grupo ni en la puesta en común.
,15,11,8,0
