unidad,tema,pregunta,respuesta,instrumento_evaluacion,tipo
UD00,Presentación y Entorno,¿Cuántas horas tiene el módulo 1665 y con qué frecuencia semanal se imparte?,"34 horas, 1 hora semanal (martes)",BA1.b,b
UD00,Presentación y Entorno,¿Qué ponderación tienen las actividades y el cuestionario dentro de cada RA?,80 % actividades/prácticas + 20 % cuestionario,BA1.b,b
UD00,Presentación y Entorno,¿Qué RA pesa más en la nota final y cuánto?,"RA6 (proyecto de transformación digital), un 30 %",BA1.b,b
UD00,Presentación y Entorno,¿Cuántas unidades didácticas componen el módulo 1665 en el curso 2026-27?,8 (UD00 a UD07),BA1.b,b
UD01,Digitalización y transformación digital,¿Qué diferencia un plan de digitalización de la transformación digital?,"El plan es la hoja de ruta (diagnóstico, objetivos medibles, recursos, gestión del cambio); la transformación es el proceso integral de cambio en cultura, procesos, tecnología y estrategia",BA1.b,b
UD01,Digitalización y transformación digital,¿Cuáles son los cuatro tipos de transformación digital?,"De procesos empresariales, del modelo de negocio, del dominio empresarial y de la cultura de la organización",BA1.b,b
UD01,Digitalización y transformación digital,"En ImpresiónArte, ¿qué tipo de transformación representa abrir una tienda online?",Transformación digital del modelo de negocio,BA1.b,b
UD01,Digitalización y transformación digital,Una empresa escanea sus facturas en papel y las guarda en PDF. ¿Es digitalización o transformación digital?,Digitalización (conversión analógico → digital),BA1.b,b
UD01,Plan de digitalización,¿Qué función cumple un plan de digitalización respecto a la resistencia al cambio?,Incluye estrategias para combatir la resistencia al cambio que pueda aparecer,BA1.b,b
UD01,Plan de digitalización,¿Por qué un plan de digitalización ayuda a optimizar las inversiones?,"Asigna recursos (tecnología, formación y cambio organizativo) distribuyendo presupuesto y tiempo para maximizar el retorno",BA1.b,b
UD01,Transformación digital,¿Cuáles son los aspectos clave de la transformación digital?,"Digitalización de procesos, datos y analítica, experiencia del cliente, colaboración y comunicación, innovación y cambio cultural con liderazgo ejecutivo",BA1.b,b
UD01,Entornos IT y OT,¿Qué es la convergencia IT-OT y por qué se produce?,"Es la integración y alineación de tecnologías y procesos que históricamente estuvieron separados; se produce por la digitalización industrial (Industria 4.0), el IoT y la necesidad de datos unificados",BA1.b,b
UD01,Entornos IT y OT,¿Cuáles son los 3 factores impulsores de la convergencia IT-OT?,"Digitalización de procesos industriales, proliferación de IoT y necesidad de datos unificados",BA1.b,b
UD01,Entornos IT y OT,¿Qué es SCADA y qué es un PLC?,SCADA: sistema supervisor de control y adquisición de datos; PLC: controlador lógico programable (autómata),BA1.b,b
UD01,Entornos IT y OT,¿Cuáles son las principales características de un entorno OT?,"Enfoque en operaciones físicas, tiempo real, seguridad industrial, automatización industrial y dispositivos conectados",BA1.b,b
UD01,Tecnologías de digitalización,¿Cuáles son los 5 aspectos de la digitalización en planta (enfoque operativo)?,"Automatización y control avanzado, IoT y sensores, gemelos digitales, realidad aumentada y virtual, y sistemas de gestión de activos (AMS)",BA1.b,b
UD01,Tecnologías de digitalización,¿Cuáles son los 6 aspectos de la digitalización en negocio (enfoque empresarial)?,"Sistemas ERP, analítica avanzada y big data, inteligencia artificial y machine learning, blockchain, computación en la nube e IoT",BA1.b,b
UD02,Tecnologías Habilitadoras (THD),¿Qué son las Tecnologías Habilitadoras de la Transformación Digital (THD)?,"Conjunto de tecnologías que hacen posible la transformación digital (IoT, cloud, IA, big data, blockchain…)",BA1.b,b
